IDW - 4,,
Early,Late,Final
45.95280416,54.77447489,25.44090555
52.09232115,49.10720262,28.59624989
39.22850214,32.42939776,21.02106389
36.71721485,37.20117916,15.73407336
55.76738436,53.00511553,40.23477839
43.89308078,41.47174022,24.63273166
36.90987876,33.31615068,23.69684154
47.52115843,41.64913922,35.4224427
49.54610198,56.70833546,38.7882364
49.04300479,46.84020649,25.79414522
28.03616334,29.20901356,31.31586994
45.77716583,45.75837237,26.6167352
34.82374469,31.01522216,19.19878164
45.84050277,44.35764138,25.35880205
46.96050331,43.80270001,40.96709182
65.43421448,49.1723306,31.66409789
41.39980084,31.18949628,18.55067038
60.16668735,59.61454773,51.79395545
39.54592611,37.4900646,30.07387882
68.8638803,56.87686222,48.98370076
34.34785952,39.08216543,18.24978496
53.27411045,40.7079549,33.59768031
67.6584629,63.43830529,21.67422505
125.7780852,101.80519644,30.40358169
47.31366527,49.63886236,44.2255858
50.37912669,45.82373972,28.4547276
68.13643182,84.95192285,29.67780479
58.65904752,47.52559871,29.19229814
51.37305749,58.67181959,44.95459615
33.8435549,33.13143061,38.06779795
33.84863071,45.83423959,28.21426898
35.10525845,28.64572789,25.98871572
60.2311151,63.3801234,55.9397344
46.28157024,47.56688205,26.55563645
33.96019142,30.10934894,28.59312676
50.38241578,42.85826342,22.09287375
48.82771329,41.71860228,42.14034607
56.70442794,50.99575865,28.83200219
34.35820928,38.62385946,31.45803453
19.82948866,30.62158617,19.52546393
38.68538324,43.25349907,39.41041974
20.26411517,17.8662943,16.59524996
52.26968803,54.36893658,33.232281
108.96699338,99.02463727,26.19695791
46.4698372,54.48352668,43.77166881
39.02074055,48.26491477,37.08673706
96.40100584,89.22726636,32.7922436
52.81173693,52.48357028,52.10046992
20.97408953,18.49379943,15.31687384
35.23890949,36.42338162,24.91910426
27.07286539,34.23322509,28.61434456
29.7809973,33.79786588,16.95110326
28.77092872,31.6646767,26.09786452
35.1950874,37.10631651,33.17758417
31.31042799,27.21490722,26.56682056
19.08812207,21.21474451,21.99750961
43.58871166,37.39200326,32.69967236
32.07546248,40.05350331,35.8098793
29.36487015,28.98585606,17.09881981
50.74451,63.50178321,49.26962845
32.45762497,38.1167648,36.21547093
66.98626822,66.86315172,36.06615187
74.51095983,67.08804313,40.22810601
34.61073255,35.77804748,17.73733977
21.77393615,20.81768264,19.9757596
18.44864589,16.36775241,15.66056146
60.6650231,56.02325423,22.92242374
87.07098615,77.97958207,28.80359903
34.78726183,36.17892142,20.27372764
32.36098813,25.21659669,26.24292557
21.62555809,23.48074814,19.48875657
62.35124727,59.5669169,26.73188661
74.06158429,68.15168298,25.36594396
85.91212579,78.85874582,15.46437886
27.57989335,35.29602611,26.71329688
80.83572208,73.6911322,26.09792324
82.29432484,82.20635944,24.43315033
100.68821427,87.58243767,26.73358707
102.88444682,82.99305753,25.81045741
87.34614784,67.37653685,22.80813003
20.82767262,24.29594441,17.76798889
62.183271,53.98502701,34.4343236
59.71798607,59.24209379,33.2921168
95.14071202,72.7105294,24.95186429
55.44012165,61.64909213,17.33199175
54.52980977,62.02719865,21.90178473
57.0266863,52.32756809,21.31248041
102.71053307,94.49925546,27.98774204
64.21740437,83.94137783,31.00285906
30.39525056,38.14778684,23.74267285
63.83933103,72.74104005,27.96903298
50.9951301,70.45159829,21.84974406
27.32034044,37.3329161,16.13702961
22.19194048,33.32062187,16.67138127
43.90885369,48.88484336,33.00118123
11.68162301,13.6260139,13.17014639
12.88203647,19.70582557,13.27462924
10.30188477,11.12825719,9.82329674
25.44134144,30.57723593,14.44415204
17.49226693,30.9005368,10.51611323
34.78647893,46.18631079,8.51171503
32.63600971,35.07829587,7.72892879
18.58674186,17.75079233,26.59231776
31.9655363,42.54326815,20.21360266
19.61153299,21.73719229,6.99378692
49.74985182,61.17037115,41.25547148
101.08582322,83.2021655,21.59183978
16.46849887,14.60402279,22.35552122
36.34749825,56.17686114,24.77294105
38.84721856,41.5428348,26.96707484
85.80194873,80.14428564,27.12482785
55.03872877,51.1678888,18.4137285
39.64217687,47.30349124,24.63976473
47.93029793,57.39410254,35.04791427
54.77325458,42.27585492,22.64901874
58.1358059,41.7446513,32.64602364
75.54209084,63.98407682,30.07777805
69.24188148,70.89840114,44.23711182
23.94705021,35.31091184,19.22109359
56.71183076,44.25427495,32.7797538
70.17129797,61.43197142,32.71532327
95.73711066,93.23963254,30.61347257
47.29008251,50.44756603,28.72240314
18.92696799,22.92640392,24.93839753
46.8237998,41.3998073,32.21188254
44.24530136,48.5108829,28.41334383
36.16588353,42.69673105,33.57547771
75.30794195,62.64771991,19.89596551
19.61469162,21.53743749,12.53365243
35.5238529,39.71620013,46.93789119
80.33217495,92.61783146,23.846522
84.30968011,72.56599771,30.64345512
54.80955115,46.18507379,34.45193264
22.99476016,23.7339569,34.55679413
85.3090534,74.86803135,24.69922647
35.24617555,40.91101264,39.41158885
92.75129683,81.2215074,37.27515757
71.038498,67.69192931,27.40600803
92.78996738,99.90776916,28.06513785
64.0136352,45.23672449,35.30651897
30.33947488,26.62735008,28.77493563
19.67860483,32.10632167,12.08341878
60.7110257,51.33199498,49.53703935
88.9255028,71.37382826,23.55520833
23.19037204,29.01672576,34.107838
92.31773904,83.04190221,25.9175868
54.64557957,60.05285626,40.13521393
16.24146669,12.61060674,10.57422772
29.18692082,37.86646824,25.01106994
39.55853456,43.67956794,25.02365357
27.99427867,27.54485376,15.49965275
34.9777642,36.56020218,33.85415847
42.37457453,61.11458127,22.44135524
44.56150417,70.97292225,35.53323255
35.73945926,42.95828549,12.99669012
22.16204561,26.70619461,19.33550518
26.20013226,29.14359322,20.79686698
31.98995834,33.56367325,16.33143904
44.28048731,49.29371301,44.76906218
30.81456438,31.07095639,29.57110489
35.37899202,38.00441809,25.38145246
40.86193811,44.46808793,52.71909383
51.5359351,60.12126153,51.48013499
47.71799435,47.18752532,55.79116354
46.38757153,41.55649733,37.91036983
54.23467319,45.16932707,42.44867368
63.72173926,62.34636916,53.93271462
64.94633769,62.68800024,66.41837498
11.53577665,11.69837643,25.33291496
